231,Art Fundamentals: 2D,ART231,none,none,none
233,Art Fundamentals: 3D,ART233,none,none,none
235,Introduction to Photography and Digital Imaging,ART235,none,none,none
241,Drawing I,ART241,none,none,none
243,Drawing II,ART243, Art 241.,none,none
251,Media Arts: Practice and Theory,ART251,none,none,none
271,Introduction to Printmaking,ART271,none,none,none
301,Studies in Contemporary Canadian Art,ART301,none,none,none
309,Foundations of Art Education ,ART309,none,none,none
311,Topics in Art,ART311,none,none,none
313,Video Art,ART313,Art 235.,none,none
315,Programming for Artists,ART315,3 units of courses labelled Art.,Credit for Art 315 and any of Computer Science 217, 219, 231, 235, Data Science 211 or Engineering 233 will not be allowed.,none
317,Electronics for Artists,ART317,3 units of courses labelled Art.,none,none
319,Digital Illustration,ART319,Art 235.,Credit for Art 319 and 253 will not be allowed. ,none
321,Net Art: Theory and Practice,ART321,none,none,none
323,Digital Sculpture,ART323,Art 235.,none,none
327,Art Now I,ART327,15 units of courses labelled Art.,none,none
329,Art Now II,ART329,15 units of courses labelled Art.,none,none
331,2D Digital Imaging,ART331,Art 235.,none,none
332,Topics in Photography,ART332,Art 336.,none,none
334,Time-Based Art,ART334,Art 235. ,none,none
336,Digital Photography,ART336,Art 235.,Credit for Art 336 and 337 will not be allowed.,none
338,Film Photography,ART338, Art 235.,Credit for Art 338 and 335 will not be allowed.,none
340,Panorama and 360 Virtual Reality Photography,ART340,Art 235.,none,none
341,Drawing the Figure,ART341, Art 241.,none,none
342,Art Education Across the Lifespan I,ART342,none,Credit for Art 342 and any of 305, 307 or 393 will not be allowed.,none
343,Drawing: Construction of Pictorial Space,ART343, Art 241.,none,none
344,Art Education Across the Lifespan II ,ART344,none,Credit for Art 344 and any of 305, 307 and 393 will not be allowed.,none
345,Anatomical Drawing I,ART345, Art 241.,none,none
347,Anatomical Drawing II,ART347, Art 345.,none,none
349,Drawing for the Biological Sciences,ART349,none,none,none
350,Painting: Materials and Processes,ART350,Art 231 or 241.,none,none
351,Painting: Figuration,ART351, Art 231 or 241.,none,none
353,Painting: Abstraction ,ART353, Art 231 or 241,none,none
361,Visual Research Methods,ART361,6 units of courses labelled Art at the 300 level.,none,none
363,Advanced Visual Research Methods,ART363,Art 361.,none,none
365,Topics in Studio Research,ART365,none,none,none
373,Printmaking: Lithography,ART373,none,none,none
377,Printmaking: Screenprint,ART377,none,none,none
379,Printmaking: Intaglio,ART379,none,none,none
381,Sculpture: Materials and Processes ,ART381, Art 233.,none,none
383,Sculpture: Concepts and Strategies,ART383, Art 233.,none,none
397,Professional Development,ART397,12 units of courses labelled Art at the 200 level or above.,none,none
399,Art in Theory and Practice I,ART399,none,none,none
