217,Introductory Financial Accounting,ACCT 217,Admission to the Haskayne School of Business and 12 units.  ,Credit for Accounting 217 and any of Accounting 301$ 317 or Business and Environment 291 will not be allowed. ,none
301,Accounting Principles,ACCT 301,24 units including Entrepreneurship and Innovation 201.,Credit for Accounting 301 and any of 217$ 317 or 323 will not be allowed.,none
323,Introductory Managerial Accounting,ACCT 323,Admission to the Haskayne School of Business$ and Accounting 217 or 317.,Credit for Accounting 323 and 301 will not be allowed.,none
341,Intermediate Financial Accounting I,ACCT 341,Admission to the Haskayne School of Business and Accounting 217 or 317$ and 323.,none,none
343,Intermediate Financial Accounting II,ACCT 343,Admission to the Haskayne School of Business and Accounting 341.,none,none
361,Cost Accounting,ACCT 361,Admission to the Haskayne School of Business and Accounting 323.,none,none
421,Taxation,ACCT 421,Admission to the Haskayne School of Business$ and 54 units including Accounting 217 or 317.,none,none
423,Advanced Taxation,ACCT 423,Admission to the Haskayne School of Business and Accounting 421.,none,none
425,Auditing,ACCT 425,Admission to the Haskayne School of Business and 54 units including Accounting 341.,none,none
443,Advanced Financial Accounting,ACCT 443,Admission to the Haskayne School of Business and 54 units including Accounting 343.,none,none
445,Accounting Theory,ACCT 445,Admission to the Haskayne School of Business and 54 units including Accounting 343.,none,none
465,Managerial Control Systems,ACCT 465,Admission to the Haskayne School of Business and 54 units including Accounting 361.,none,none
559,Selected Topics in Accounting,ACCT 559,Admission to the Haskayne School of Business and 54 units including Accounting 343. For certain topics$ consent of the Haskayne School of Business will also be required.,none,none
601,Introductory Financial Accounting,ACCT 601,none,none,none
603,Management Accounting,ACCT 603, Accounting 601.,none,none
621,Taxation,ACCT 621,Accounting 601.,none,none
623,Advanced Taxation I,ACCT 623,Accounting 621 or 721. ,none,none
641,Intermediate Financial Accounting I,ACCT 641, Accounting 601 and 603; or consent of the Haskayne School of Business.,none,none
642,Financial Statement Analysis,ACCT 642,Accounting 603.,none,none
643,Intermediate Financial Accounting II,ACCT 643,Accounting 641.,none,none
644,Advanced Financial Accounting,ACCT 644,Accounting 643.,none,none
645,Accounting Theory,ACCT 645,Accounting 643.,none,none
646,Integrative Accounting I,ACCT 646,Admission to Master of Business Administration and Accounting 443 or 644.,none,none
647,Advanced Taxation II,ACCT 647,Admission to Master of Business Administration and Accounting 423 or 623.,none,none
661,Cost Accounting,ACCT 661, Accounting 603.,none,none
665,Managerial Control Systems,ACCT 665,Accounting 661.,none,none
666,Auditing ,ACCT 666,Accounting 641. ,none,none
667,Advanced Auditing,ACCT 667,Admission to Master of Business Administration and Accounting 425 or 666. ,none,none
668,Integrative Accounting II,ACCT 668,Admission to Master of Business Administration and Accounting 465 or 665.,none,none
669,Seminar in Accounting,ACCT 669,Accounting 603 or consent of the Haskayne School of Business. ,none,none
672,Financial Accounting Concepts   ,ACCT 672,Admission to the Master of Management Program. ,none,none
674,Managerial Accounting Concepts,ACCT 674,Admission to the Master of Management Program.,none,none
797,Advanced Seminar in Accounting,ACCT 797, Consent of the Haskayne School of Business.,none,none
799,Doctoral Seminars in Accounting,ACCT 799,none,none,none
