201,Principles of Microeconomics,ECON201,none,none,none
203,Principles of Macroeconomics,ECON203,none,none,Prerequisite or Corequisite: Economics 201.
209,Engineering Economics,ECON209,Admission to the Schulich School of Engineering with second-year standing or higher.,Credit for Economics 209 and Engineering 209 will not be allowed.,none
301,Intermediate Economic Theory - Microeconomics I,ECON301,Economics 201 and 203; and 3 units from Mathematics 249, 265 or 275.,none,none
303,Intermediate Economic Theory - Macroeconomics I,ECON303,Economics 201 and 203; and 3 units from Mathematics 249, 265 or 275.,none,none
311,Computer Applications in Economics,ECON311, Economics 201.,none,none
321,The Global Trading System,ECON321,Economics 201.,none,none
323,Natural Gas Markets,ECON323,Economics 201.,none,none
328,Petroleum Economics ,ECON328,Economics 201.,Credit for Economics 328 and 325 or 327 will not be allowed.,none
329,Electricity Markets,ECON329,Economics 201.,none,none
337,Development Economics,ECON337,Economics 201 and 203.,none,none
339,Canadian Economic History,ECON339,Economics 201 and 203.,none,none
341,Money and Banking,ECON341,Economics 201 and 203.,none,none
345,Economic Analysis of Law,ECON345,Economics 201.,none,none
349,The Economics of Social Problems,ECON349,Economics 201.,none,none
353,Chinese Economy,ECON353,Economics 201 and 203.,Credit for Economics 353 and Economics 399.02 will not be allowed.,none
355,Canadian Public Finance,ECON355,Economics 201 and 203.,none,none
357,Intermediate Economic Theory - Microeconomics II,ECON357,Economics 301 and 3 units from Mathematics 249, 265 or 275.,Credit for Economics 357 and either 309 or 529 will not be allowed.,none
359,Intermediate Economic Theory - Macroeconomics II,ECON359,Economics 303 and 3 units from Mathematics 249, 265 or 275.,Credit for Economics 359 and either 313 or 531 will not be allowed.,none
371,Economic Analysis of Transportation,ECON371,Economics 201.,none,none
373,Game Theory and Strategic Thinking for the Social Sciences,ECON373,Economics 201.,none,none
377,Economics and the Environment,ECON377,Economics 201.,none,none
379,The Economics of Health,ECON379,Economics 201.,none,none
387,Introduction to Mathematical Economics I,ECON387,Economics 201, 203 and 3 units from Mathematics 249, 265 or 275.,Credit for Economics 387 and either 304 or 521 will not be allowed.,Prerequisites or Corequisites: Economics 301 and 303.
389,Introduction to Mathematical Economics II,ECON389,Economics 387 and Mathematics 211.,Credit for Economics 389 and 304 will not be allowed.,none
395,Introduction toEconometrics,ECON395,Economics 201, 203, Statistics 213 and 217. ,none,none
399,Introductory Topics in Economics,ECON399,Economics 201 and 203.,none,none
401,Public Sector Economics: Expenditures,ECON401,Economics 357 and 359.,none,none
403,Public Sector Economics: Taxation,ECON403,Economics 357 and 359.,none,none
405,Political Economy of Public Policy,ECON405,Economics 357 and 359.,none,none
411,Computational and Data Methods in Economics,ECON411,Economics 311, 357, 359 and 395. ,none,none
423,International Macroeconomics,ECON423, Economics 357 and 359.,none,none
425,International Trade,ECON425,Economics 357 and 359.,none,none
427,Energy Economics and Policy,ECON427,Economics 357, 359 and 395.,none,none
429,Advanced Electricity Markets,ECON429,Economics 329, 357, 359 and 471. ,none,none
431,Labour Economics,ECON431,Economics 357 and 359.,none,none
443,The Economics of Financial Markets,ECON443,Economics 311, 341, 357 and 359. ,none,none
453,Cost-Benefit Analysis,ECON453,Economics 357 and 359.,none,none
457,The Economics of Business Fundamentals ,ECON457,Economics 311, 357 and 359.,Credit for Economics 457 and either 397 or 499.57 will not be allowed.,none
471,Industrial Organization,ECON471,Economics 357 and 359.,none,none
475,Economics of Natural Resources,ECON475,Economics 357 and 359.,none,none
477,Regulatory Economics,ECON477,Economics 357, 359 and 471.,none,none
479,Experimental Economics,ECON479,Economics 357, 359 and 395.,none,none
481,Behavioural Economics,ECON481,Economics 357 and 359.,none,none
483,History of Economic Thought,ECON483,Economics 357 and 359.,none,none
485,Economics of the Welfare State,ECON485,Economics 357, 359 and 395.,Credit for Economics 485 and 599.10 will not be allowed.,none
487,Environmental Economics,ECON487,Economics 357, 359 and 395.,Credit for Economics 487 and 499.77 will not be allowed.,none
489,Economics of the Movie Business,ECON489,Economics 357, 359 and 395.,Credit for Economics 489 and 499.63 will not be allowed.,none
491,Managerial and Decision Economics,ECON491,Economics 357, 359 and 395.,Credit for Economics 491 and 499.80 will not be allowed.,none
493,Empirical Energy Economics  ,ECON493,Economics 357, 359, 395 and 427.,none,none
495,Intermediate Econometrics,ECON495,Economics 357, 359, 395; and 3 units from Mathematics 249, 265, or 275.,none,none
497,Advanced Econometrics,ECON497,Economics 357, 359, 495 and Mathematics 211.,none,none
499,Intermediate Topics in Economics,ECON499,Economics 357, 359 and 395.,none,none
