201,Ancient Greek I,GREK 201,none,none,none
203,Ancient Greek II,GREK 203,Greek 201.,none,none
301,Ancient Greek III,GREK 301,Greek 203.,none,none
303,Intermediate Readings in Classical and New Testament Greek,GREK 303,Greek 301.,none,none
401,Topics in Greek Prose,GREK 401,Greek 303.,none,none
403,Topics in Greek Poetry,GREK 403,Greek 303.,none,none
551,Directed Studies in Greek ,GREK 551,Consent of the Department.,none,none
601,Graduate Seminar,GREK 601,none,none,none
602,Introductory Ancient Greek for Graduate Students ,GREK 602,Greek 602.01 must be taken before Greek 602.02.   ,Credit for Greek 602 and either Greek 201 or 203 will not be allowed.   ,none
604,Intermediate Ancient Greek for Graduate Students ,GREK 604,none,none,none
607,Directed Studies,GREK 607,none,none,none
